FUELANNUAL	HSVAL	GOR_DV	YEAR	HHSIZE	HHTYPE_DV	HSBEDS	TENURE_DV	NEMP_DV	NKIDS_DV	NPENS_DV	NUE_DV	LKMOVE	XPMOVE	FIHHMNGRS_DV	FIYRDIC_DV	FINNOW	FINFUT	SAVE	JBSTAT	SF1	RACEL_DV	BIRTHY	SEX	NCARS	ENVHABIT1_A	ENVHABIT3_A	ENVHABIT4_A	ENVHABIT6_A	ENVHABIT8_A	FUELDUEL	HEATCH	HHEAT	AGE	REGION	LONDON	LAT	LONG	NSAMPLES	T.FUEL	T.HVAL	T.HHINCOME	T.HHSAV
1800	35e4	1	2011	2	Couple both under pensionable age, no children	1	Owned with mortgage	2	0	0	0	Wants to stay	Not expecting to move	3e3	0	4	1	No monthly savings	Self employed	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1952	Female	3	2	4	4	1	2	Separate	Some form of central heating	Yes	59	North East	Not London	55.01955266	-1.90526457	111	0.9274721971013743	0.9363316907606686	0.7876164360754023	0.5117662727140687
1800	35e4	1	2011	2	Couple both under pensionable age, no children	1	Owned with mortgage	2	0	0	0	Wants to stay	Not expecting to move	3e3	0	3	2	No monthly savings	Self employed	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1952	Male	3	4	3	4	1	1	Separate	Some form of central heating	Yes	59	North East	Not London	55.01955266	-1.90526457	111	0.9274721971013743	0.9363316907606686	0.7876164360754023	0.5117662727140687
750	99e3	1	2011	3	3 or more adults, no children, incl. at least one couple	3	Owned with mortgage	2	0	0	1	Wants to stay	Not expecting to move	3990.99	0	3	3	No monthly savings	Looking after family or home	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1956	Female	1	5	5	5	1	3	Separate	Some form of central heating	Yes	55	North East	Not London	55.01955266	-1.90526457	111	0.8794958432861221	0.8963303348124014	0.7995696203061524	0.5117662727140687
750	99e3	1	2011	3	3 or more adults, no children, incl. at least one couple	3	Owned with mortgage	2	0	0	1	Wants to stay	Not expecting to move	3990.99	0	3	3	No monthly savings	In paid employment (full or part-time)	4	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1953	Male	1	5	1	5	4	1	Separate	Some form of central heating	Yes	58	North East	Not London	55.01955266	-1.90526457	111	0.8794958432861221	0.8963303348124014	0.7995696203061524	0.5117662727140687
750	99e3	1	2011	3	3 or more adults, no children, incl. at least one couple	3	Owned with mortgage	2	0	0	1	Wants to move	Expect moving	3990.99	0	2	2	No monthly savings	In paid employment (full or part-time)	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1982	Female	1	5	5	2	2	3	Separate	Some form of central heating	Yes	29	North East	Not London	55.01955266	-1.90526457	111	0.8794958432861221	0.8963303348124014	0.7995696203061524	0.5117662727140687
600	7e4	1	2011	1	1 adult under pensionable age, no children	3	Owned with mortgage	1	0	0	0	Wants to stay	Expect moving	2193.33	0	2	1	Monthly savings	In paid employment (full or part-time)	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1973	Male	1	5	1	5	1	1	One bill	Some form of central heating	Yes	38	North East	Not London	55.01955266	-1.90526457	111	0.8706689925595104	0.8898201534760656	0.7765432087607472	0.5117662727140687
1320	1e5	1	2011	3	3 or more adults, no children, incl. at least one couple	3	Housing assoc rented	1	0	0	2	Wants to stay	Not expecting to move	2206	0	4	3	No monthly savings	In paid employment (full or part-time)	4	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1963	Female	2	2	1	3	1	4	Separate	Some form of central heating	Yes	48	North East	Not London	55.01955266	-1.90526457	111	0.9079683368125765	0.8965444531150499	0.7767282080494955	0.5117662727140687
1560	17e4	1	2011	2	Couple 1 or more over pensionable age,no children	3	Owned outright	0	0	2	2	Wants to stay	Not expecting to move	1817.3	300	1	3	No monthly savings	Retired	4	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1933	Female	1	1	1	2	3	1	One bill	Some form of central heating	Yes	78	North East	Not London	55.01955266	-1.90526457	111	0.9181317256187723	0.9101167274824922	0.7708701218779869	0.5548949588572321
1560	17e4	1	2011	2	Couple 1 or more over pensionable age,no children	3	Owned outright	0	0	2	2	Wants to stay	Not expecting to move	1817.3	138.165771484375	1	3	No monthly savings	Retired	4	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1935	Male	1	1	2	3	2	1	One bill	Some form of central heating	Yes	76	North East	Not London	55.01955266	-1.90526457	111	0.9181317256187723	0.9101167274824922	0.7708701218779869	0.5343909092852502
1200	2e5	1	2011	3	2 adults, not a couple, 1 or more children	3	Owned with mortgage	2	0	0	1	Wants to stay	Not expecting to move	2410.75	2	5	3	No monthly savings	In paid employment (full or part-time)	1	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1965	Female	1	5	5	3	2	1	One bill	Some form of central heating	Yes	46	North East	Not London	55.01955266	-1.90526457	111	0.9025300868744667	0.9152191456659423	0.7796657747742392	0.5121413524520532
750	17e4	1	2011	3	Couple with 1 child	3	Owned outright	2	1	0	0	Wants to move	Not expecting to move	4606.58	5	1	1	Monthly savings	In paid employment (full or part-time)	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1962	Male	2	5	4	3	0	1	Separate	Some form of central heating	Yes	49	North East	Not London	55.01955266	-1.90526457	111	0.8794958432861221	0.9101167274824922	0.8062606292720752	0.5127008460204767
750	17e4	1	2011	3	Couple with 1 child	3	Owned outright	2	1	0	0	Wants to move	Not expecting to move	4606.58	0	2	3	Monthly savings	In paid employment (full or part-time)	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1964	Female	2	5	2	3	3	2	Separate	Some form of central heating	Yes	47	North East	Not London	55.01955266	-1.90526457	111	0.8794958432861221	0.9101167274824922	0.8062606292720752	0.5117662727140687
1150	18e4	1	2011	1	1 adult under pensionable age, no children	3	Owned with mortgage	1	0	0	0	Wants to stay	Not expecting to move	2291.67	0	2	3	No monthly savings	In paid employment (full or part-time)	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1951	Female	1	4	5	4	2	3	Separate	Some form of central heating	Yes	60	North East	Not London	55.01955266	-1.90526457	111	0.9001862867694842	0.9118588562794454	0.7779691277054592	0.5117662727140687
852	19e4	1	2011	1	1 adult under pensionable age, no children	3	Owned outright	1	0	0	0	Wants to stay	Not expecting to move	2740.29	39.47079086303711	2	3	Monthly savings	In paid employment (full or part-time)	1	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1956	Female	1	5	5	4	2	2	Separate	Some form of central heating	Yes	55	North East	Not London	55.01955266	-1.90526457	111	0.8851343544178872	0.9135590037438859	0.7841993092945689	0.5188752614983547
1800	4e5	1	2011	3	Couple with 1 child	3	Owned with mortgage	2	0	0	1	Wants to stay	Not expecting to move	9293.86	848.16278076171875	1	2	Monthly savings	In paid employment (full or part-time)	1	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1954	Male	2	5	3	4	3	2	One bill	Some form of central heating	Yes	57	North East	Not London	55.01955266	-1.90526457	111	0.9274721971013743	0.9421658928868588	0.8453584123162393	0.6010921734481467
1800	4e5	1	2011	3	Couple with 1 child	3	Owned with mortgage	2	0	0	1	Wants to move	Not expecting to move	9293.86	138.165771484375	1	2	Monthly savings	In paid employment (full or part-time)	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1953	Female	2	5	5	2	2	2	One bill	Some form of central heating	Yes	58	North East	Not London	55.01955266	-1.90526457	111	0.9274721971013743	0.9421658928868588	0.8453584123162393	0.5343909092852502
1800	4e5	1	2011	3	Couple with 1 child	3	Owned with mortgage	2	0	0	1	Wants to move	Expect moving	9293.86	0	1	3	Monthly savings	Full-time student	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1993	Male	2	5	5	1	2	4	One bill	Some form of central heating	Yes	18	North East	Not London	55.01955266	-1.90526457	111	0.9274721971013743	0.9421658928868588	0.8453584123162393	0.5117662727140687
865	25e4	1	2011	1	1 female, age 60+, no children	3	Owned outright	0	0	1	1	Wants to stay	Not expecting to move	1128.08	200	2	3	No monthly savings	Retired	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1948	Female	1	5	5	2	3	4	One bill	Some form of central heating	Yes	63	North East	Not London	55.01955266	-1.90526457	111	0.8858335960421724	0.9229800349228452	0.7594298330480299	0.5428269044413244
1100	25e4	1	2011	1	1 female, age 60+, no children	2	Owned outright	0	0	1	1	Wants to stay	Not expecting to move	1472.83	180	3	3	Monthly savings	Retired	1	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1939	Female	1	5	4	3	3	2	Separate	Some form of central heating	Yes	72	North East	Not London	55.01955266	-1.90526457	111	0.8977939067228682	0.9229800349228452	0.7653357853535964	0.5401900243700405
1500	33e4	1	2011	4	2 adults, not a couple, 1 or more children	4	Owned outright	1	2	0	1	Wants to stay	Expect moving	2763.01	0	2	3	No monthly savings	Self employed	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1967	Female	1	1	2	4	3	2	One bill	Some form of central heating	Yes	44	North East	Not London	55.01955266	-1.90526457	111	0.9156735367000481	0.9338558745443996	0.7845035334006544	0.5117662727140687
1500	4e5	1	2011	4	Couple with 2 children	5	Owned outright	2	1	0	1	Wants to stay	Not expecting to move	7427.68	1e3	2	2	Monthly savings	In paid employment (full or part-time)	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1963	Female	3	3	3	3	3	2	One bill	Some form of central heating	Yes	48	North East	Not London	55.01955266	-1.90526457	111	0.9156735367000481	0.9421658928868588	0.8317732116559762	0.6103959998154596
1500	4e5	1	2011	4	Couple with 2 children	5	Owned outright	2	1	0	1	Wants to stay	Not expecting to move	7427.68	138.165771484375	2	2	No monthly savings	In paid employment (full or part-time)	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1963	Male	3	3	2	3	4	1	One bill	Some form of central heating	Yes	48	North East	Not London	55.01955266	-1.90526457	111	0.9156735367000481	0.9421658928868588	0.8317732116559762	0.5343909092852502
1500	4e5	1	2011	4	Couple with 2 children	5	Owned outright	2	1	0	1	Wants to stay	Expect moving	7427.68	0	2	3	Monthly savings	Full-time student	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1993	Male	3	5	5	3	0	2	One bill	Some form of central heating	Yes	18	North East	Not London	55.01955266	-1.90526457	111	0.9156735367000481	0.9421658928868588	0.8317732116559762	0.5117662727140687
1500	23e4	1	2011	3	Couple with 1 child	4	Owned with mortgage	2	1	0	0	Wants to stay	Not expecting to move	6381.34	100	1	3	No monthly savings	In paid employment (full or part-time)	1	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1968	Female	2	5	1	5	2	1	One bill	Some form of central heating	Yes	43	North East	Not London	55.01955266	-1.90526457	111	0.9156735367000481	0.91997732403443655	0.8231397431975378	0.5287261103959313
1500	23e4	1	2011	3	Couple with 1 child	4	Owned with mortgage	2	1	0	0	Wants to stay	Not expecting to move	6381.34	2621.3134765625	1	1	Monthly savings	In paid employment (full or part-time)	5	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1962	Male	2	2	5	4	3	4	One bill	Some form of central heating	Yes	49	North East	Not London	55.01955266	-1.90526457	111	0.9156735367000481	0.91997732403443655	0.8231397431975378	0.6734674841325777
1680	13e4	2	2011	3	Couple with 1 child	4	Owned with mortgage	2	0	0	1	Wants to move	Expect moving	3041.53	0	2	3	Monthly savings	In paid employment (full or part-time)	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1965	Female	2	1	4	2	1	1	One bill	Some form of central heating	Yes	46	North West	Not London	54.05707106	-2.72288878	300	0.9228964153199087	0.9026832877875965	0.788150914079503	0.5117662727140687
1680	13e4	2	2011	3	Couple with 1 child	4	Owned with mortgage	2	0	0	1	Wants to move	Not expecting to move	3041.53	0	3	1	No monthly savings	Full-time student	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1993	Male	2	2	3	1	1	3	One bill	Some form of central heating	Yes	18	North West	Not London	54.05707106	-2.72288878	300	0.9228964153199087	0.9026832877875965	0.788150914079503	0.5117662727140687
760	1e5	2	2011	1	1 male, aged 65+, no children	2	Owned outright	0	0	1	1	Wants to stay	Not expecting to move	1084.86	122	1	3	No monthly savings	Retired	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1929	Male	0	1	5	5	2	2	One bill	Some form of central heating	Yes	82	North West	Not London	54.05707106	-2.72288878	300	0.8800609770839761	0.8965444531150499	0.7586610289958438	0.532038019063145
900	7e4	2	2011	2	2 adults, not a couple, both under pensionable age, no children	2	Owned outright	1	0	0	1	Wants to move	Not expecting to move	2747.83	0	4	3	No monthly savings	Long-term sick or disabled	5	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1951	Female	0	5	5	5	2	5	One bill	Some form of central heating	Yes	60	North West	Not London	54.05707106	-2.72288878	300	0.8876953830669215	0.8898201534760656	0.7843003861963377	0.5117662727140687
1e3	11e4	2	2011	2	Couple 1 or more over pensionable age,no children	3	Owned outright	0	0	2	2	Wants to move	Not expecting to move	1060	0	4	2	No monthly savings	Retired	1	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1950	Female	1	5	4	4	3	4	Separate	Some form of central heating	No	61	North West	Not London	54.05707106	-2.72288878	300	0.8928550472519883	0.8986506390169242	0.7582157915649156	0.5117662727140687
1e3	11e4	2	2011	2	Couple 1 or more over pensionable age,no children	3	Owned outright	0	0	2	2	Wants to move	Not expecting to move	1060	0	4	2	No monthly savings	Retired	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1942	Male	1	5	5	3	2	3	Separate	Some form of central heating	No	69	North West	Not London	54.05707106	-2.72288878	300	0.8928550472519883	0.8986506390169242	0.7582157915649156	0.5117662727140687
1506	12e4	2	2011	3	3 or more adults, no children, incl. at least one couple	3	Owned outright	1	0	2	2	Wants to move	Not expecting to move	2987.78	0	3	3	No monthly savings	Retired	5	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1944	Female	2	1	1	4	5	0	Separate	Some form of central heating	Yes	67	North West	Not London	54.05707106	-2.72288878	300	0.9159217247876758	0.9006957705021716	0.7874585560979908	0.5117662727140687
1506	12e4	2	2011	3	3 or more adults, no children, incl. at least one couple	3	Owned outright	1	0	2	2	Wants to move	Expect moving	2987.78	0	2	3	No monthly savings	Retired	4	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1943	Male	2	5	5	2	5	1	Separate	Some form of central heating	Yes	68	North West	Not London	54.05707106	-2.72288878	300	0.9159217247876758	0.9006957705021716	0.7874585560979908	0.5117662727140687
1500	1e5	2	2011	2	1 adult, 1 child	3	Owned with mortgage	0	0	0	2	Wants to stay	Not expecting to move	281.667	0	3	1	No monthly savings	Unemployed	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1973	Female	1	1	1	4	1	3	Separate	Some form of central heating	Yes	38	North West	Not London	54.05707106	-2.72288878	300	0.9156735367000481	0.8965444531150499	0.7430152018912196	0.5117662727140687
2060	6e4	2	2011	3	3 or more adults, no children, incl. at least one couple	3	Owned outright	0	0	2	3	Wants to stay	Not expecting to move	2242.47	0	3	2	No monthly savings	Retired	5	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1932	Male	1	1	1	5	5	1	Separate	Some form of central heating	Yes	79	North West	Not London	54.05707106	-2.72288878	300	0.9368047936403162	0.8874283487176082	0.7772585856752953	0.5117662727140687
2060	6e4	2	2011	3	3 or more adults, no children, incl. at least one couple	3	Owned outright	0	0	2	3	Wants to stay	Not expecting to move	2242.47	0	3	2	No monthly savings	Retired	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1934	Female	1	1	5	3	5	3	Separate	Some form of central heating	Yes	77	North West	Not London	54.05707106	-2.72288878	300	0.9368047936403162	0.8874283487176082	0.7772585856752953	0.5117662727140687
2060	6e4	2	2011	3	3 or more adults, no children, incl. at least one couple	3	Owned outright	0	0	2	3	Wants to stay	Not expecting to move	2242.47	0	4	3	No monthly savings	Long-term sick or disabled	5	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1961	Male	1	5	5	5	1	1	Separate	Some form of central heating	Yes	50	North West	Not London	54.05707106	-2.72288878	300	0.9368047936403162	0.8874283487176082	0.7772585856752953	0.5117662727140687
960	115e3	2	2011	2	1 adult, 1 child	3	Owned with mortgage	1	0	0	1	Wants to move	Not expecting to move	1860.86	0	2	3	Monthly savings	In paid employment (full or part-time)	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1970	Female	1	5	5	5	5	3	Separate	Some form of central heating	Yes	41	North West	Not London	54.05707106	-2.72288878	300	0.8908187738411418	0.8996806145361412	0.7715461046011935	0.5117662727140687
870	12e4	2	2011	1	1 adult under pensionable age, no children	3	Owned with mortgage	1	0	0	0	Wants to stay	Not expecting to move	2125	0	3	3	No monthly savings	In paid employment (full or part-time)	1	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1966	Female	1	1	1	2	3	1	Separate	Some form of central heating	Yes	45	North West	Not London	54.05707106	-2.72288878	300	0.8861014112415231	0.9006957705021716	0.775538821248569	0.5117662727140687
1100	1e5	2	2011	2	2 adults, not a couple, one or more over pensionable age, no children	3	Owned with mortgage	1	0	1	1	Wants to stay	Not expecting to move	3019.53	4	1	2	Monthly savings	Retired	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1942	Female	1	5	4	4	2	5	Separate	Some form of central heating	Yes	69	North West	Not London	54.05707106	-2.72288878	300	0.8977939067228682	0.8965444531150499	0.7878681804111073	0.5125147624987701
1400	75e3	2	2011	4	Couple with 2 children	2	Owned with mortgage	2	2	0	0	Wants to move	Not expecting to move	2150.86	0	4	2	No monthly savings	In paid employment (full or part-time)	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1970	Female	1	5	5	4	5	2	Separate	Some form of central heating	Yes	41	North West	Not London	54.05707106	-2.72288878	300	0.9114565156852393	0.8909863219893274	0.7759202720524465	0.5117662727140687
1400	75e3	2	2011	4	Couple with 2 children	2	Owned with mortgage	2	2	0	0	Wants to move	Not expecting to move	2150.86	0	3	2	No monthly savings	In paid employment (full or part-time)	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1962	Male	1	5	2	4	2	1	Separate	Some form of central heating	Yes	49	North West	Not London	54.05707106	-2.72288878	300	0.9114565156852393	0.8909863219893274	0.7759202720524465	0.5117662727140687
800	1e5	2	2011	1	1 male, aged 65+, no children	3	Owned outright	0	0	1	1	Wants to stay	Not expecting to move	1138.35	0	1	3	Monthly savings	Retired	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1928	Male	0	1	1	4	1	5	One bill	Some form of central heating	Yes	83	North West	Not London	54.05707106	-2.72288878	300	0.8822942430987535	0.8965444531150499	0.759611546093125	0.5117662727140687
500	12e4	2	2011	4	3 or more adults, no children, incl. at least one couple	4	Owned with mortgage	3	0	0	1	Wants to move	Not expecting to move	2442.5	30	3	3	Monthly savings	In paid employment (full or part-time)	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1955	Female	3	5	5	4	1	1	One bill	Some form of central heating	Yes	56	North West	Not London	54.05707106	-2.72288878	300	0.8643856209441186	0.9006957705021716	0.7801127446970133	0.5172236275943328
500	12e4	2	2011	4	3 or more adults, no children, incl. at least one couple	4	Owned with mortgage	3	0	0	1	Wants to move	Not expecting to move	2442.5	0	3	1	No monthly savings	Self employed	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1957	Male	3	5	5	4	5	2	One bill	Some form of central heating	Yes	54	North West	Not London	54.05707106	-2.72288878	300	0.8643856209441186	0.9006957705021716	0.7801127446970133	0.5117662727140687
500	12e4	2	2011	4	3 or more adults, no children, incl. at least one couple	4	Owned with mortgage	3	0	0	1	Wants to stay	Not expecting to move	2442.5	0	2	3	Monthly savings	In paid employment (full or part-time)	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1984	Female	3	5	5	3	2	1	One bill	Some form of central heating	Yes	27	North West	Not London	54.05707106	-2.72288878	300	0.8643856209441186	0.9006957705021716	0.7801127446970133	0.5117662727140687
500	12e4	2	2011	4	3 or more adults, no children, incl. at least one couple	4	Owned with mortgage	3	0	0	1	Wants to move	Not expecting to move	2442.5	0	2	1	No monthly savings	Unemployed	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1986	Female	3	3	5	2	1	4	One bill	Some form of central heating	Yes	25	North West	Not London	54.05707106	-2.72288878	300	0.8643856209441186	0.9006957705021716	0.7801127446970133	0.5117662727140687
1020	17e4	2	2011	4	Couple with 2 children	3	Owned with mortgage	1	2	0	1	Wants to stay	Not expecting to move	3071.17	0	3	3	No monthly savings	Looking after family or home	4	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1964	Female	1	1	5	4	4	1	Separate	Some form of central heating	Yes	47	North West	Not London	54.05707106	-2.72288878	300	0.8938598696542904	0.9101167274824922	0.7885304203463294	0.5117662727140687
2100	495500	2	2011	4	Couple with 2 children	4	Owned outright	2	1	0	1	Wants to stay	Not expecting to move	6070.6	262.5853576660156	2	3	Monthly savings	In paid employment (full or part-time)	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1963	Female	3	1	2	3	3	1	Separate	Some form of central heating	Yes	48	North West	Not London	54.05707106	-2.72288878	300	0.9381758919544514	0.952123953703125	0.820405949703486	0.5505804238401865
2100	495500	2	2011	4	Couple with 2 children	4	Owned outright	2	1	0	1	Wants to stay	Not expecting to move	6070.6	30	2	2	Monthly savings	Self employed	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1953	Male	3	3	5	5	5	4	Separate	Some form of central heating	Yes	58	North West	Not London	54.05707106	-2.72288878	300	0.9381758919544514	0.952123953703125	0.820405949703486	0.5172236275943328
2100	495500	2	2011	4	Couple with 2 children	4	Owned outright	2	1	0	1	Wants to stay	Not expecting to move	6070.6	10	1	3	Monthly savings	Full-time student	1	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1994	Male	3	4	4	3	0	4	Separate	Some form of central heating	Yes	17	North West	Not London	54.05707106	-2.72288878	300	0.9381758919544514	0.952123953703125	0.820405949703486	0.5136251215114191
